Scenario,Pollutant,Horizon,MAE,Crisis_MAE,
Baseline (All On),PM10,6,0.006952805,0.007621372,
Baseline (All On),PM10,12,0.00706792,0.007149088,o3??
Baseline (All On),PM10,18,0.006892865,0.006161454,
Baseline (All On),PM10,24,0.006651548,0.006809736,
Baseline (All On),PM10,30,0.006851658,0.007059116,
Baseline (All On),PM10,36,0.007034435,0.007272242,
Baseline (All On),PM10,42,0.00678897,0.006540359,
Baseline (All On),PM10,48,0.007210738,0.008085025,
Baseline (All On),PM10,54,0.007336488,0.00811246,
Baseline (All On),PM10,60,0.007646185,0.008298546,
Baseline (All On),PM10,66,0.007044461,0.006456408,
Baseline (All On),PM10,72,0.00708001,0.007462469,
Baseline (All On),NO2,6,0.329787314,0.537262321,
Baseline (All On),NO2,12,0.332110614,0.530518949,SO2
Baseline (All On),NO2,18,0.336468667,0.518367648,
Baseline (All On),NO2,24,0.333298832,0.515773118,
Baseline (All On),NO2,30,0.324908316,0.527444899,
Baseline (All On),NO2,36,0.330899686,0.519340575,
Baseline (All On),NO2,42,0.34461993,0.513294458,
Baseline (All On),NO2,48,0.339968622,0.519705951,
Baseline (All On),NO2,54,0.33369422,0.526579201,
Baseline (All On),NO2,60,0.337916642,0.525263011,
Baseline (All On),NO2,66,0.340961546,0.524860978,
Baseline (All On),NO2,72,0.342231542,0.529449105,
Baseline (All On),CO,6,0.100756608,0.138256192,
Baseline (All On),CO,12,0.101553619,0.130422115,
Baseline (All On),CO,18,0.103989944,0.124576665,
Baseline (All On),CO,24,0.102809392,0.12794295,
Baseline (All On),CO,30,0.102505974,0.125021979,
Baseline (All On),CO,36,0.103751279,0.123320617,
Baseline (All On),CO,42,0.103872783,0.122080706,
Baseline (All On),CO,48,0.101983465,0.128476769,
Baseline (All On),CO,54,0.10125497,0.130873948,
Baseline (All On),CO,60,0.102172807,0.12628378,
Baseline (All On),CO,66,0.104520507,0.124522507,
Baseline (All On),CO,72,0.103105128,0.133156314,
Baseline (All On),O3,6,3.209036827,4.938150883,
Baseline (All On),O3,12,3.369542599,4.685908318,NO2
Baseline (All On),O3,18,3.157253265,4.656523705,
