Eval_Timestamp_UTC,AI_Init_UTC,CAMS_Init_UTC,Target_Time_UTC,PM25_MAE,PM25_RMSE,PM25_Bias
2026-02-17 01:55:53,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-17 06:00:00,33.2,142.54,29.61
2026-02-17 01:55:53,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-17 12:00:00,42.03,162.28,38.55
2026-02-17 01:55:53,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-17 18:00:00,192.92,407.76,191.79
2026-02-17 01:55:53,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-18 00:00:00,105.01,288.49,101.83
2026-02-17 01:55:53,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-18 06:00:00,68.23,207.51,64.86
2026-02-17 01:55:53,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-18 12:00:00,48.65,170.4,46.52
2026-02-17 01:55:53,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-18 18:00:00,41.15,140.97,39.2
2026-02-17 01:55:53,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-19 00:00:00,31.78,135.1,28.41
2026-02-17 01:55:53,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-19 06:00:00,15.39,45.78,10.98
2026-02-17 01:55:53,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-19 12:00:00,29.03,134.53,25.28
2026-02-17 01:55:53,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-19 18:00:00,203.17,426.58,202.4
2026-02-17 01:55:53,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-20 00:00:00,31.05,143.25,28.15
2026-02-17 02:42:41,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-17 06:00:00,2.21,2.81,-0.5
2026-02-17 02:42:41,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-17 12:00:00,2.28,2.86,-0.52
2026-02-17 02:42:41,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-17 18:00:00,2.39,3.22,-0.59
2026-02-17 02:42:41,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-18 00:00:00,2.32,3.35,-1.23
2026-02-17 02:42:41,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-18 06:00:00,2.09,2.83,-1.33
2026-02-17 02:42:41,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-18 12:00:00,2.05,2.75,-0.96
2026-02-17 02:42:41,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-18 18:00:00,1.83,2.64,-1.14
2026-02-17 02:42:41,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-19 00:00:00,2.29,3.14,-1.58
2026-02-17 02:42:41,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-19 06:00:00,2.87,3.81,-2.13
2026-02-17 02:42:41,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-19 12:00:00,3.33,4.59,-2.34
2026-02-17 02:42:41,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-19 18:00:00,3.34,4.43,-2.28
2026-02-17 02:42:41,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-20 00:00:00,3.2,4.15,-1.48
