Eval_Timestamp_UTC,AI_Init_UTC,CAMS_Init_UTC,Target_Time_UTC,PM25_MAE,PM25_RMSE,PM25_Bias,PM10_MAE,PM10_RMSE,PM10_Bias,O3_MAE,O3_RMSE,O3_Bias,NO2_MAE,NO2_RMSE,NO2_Bias,SO2_MAE,SO2_RMSE,SO2_Bias,CO_MAE,CO_RMSE,CO_Bias
2026-02-17 03:32:57,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-17 06:00:00,2.2137,2.8056,-0.5035,4.9112,10.9948,0.9704,0.0141,0.0162,-0.0139,2.3256,2.6671,1.8089,0.2261,0.3009,0.0722,0.0293,0.0383,0.0247
2026-02-17 03:32:57,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-17 12:00:00,2.2824,2.8592,-0.524,4.7942,7.0504,2.6891,0.0105,0.0123,-0.0082,2.6834,2.8621,2.5788,0.2443,0.3332,0.0946,0.0394,0.0481,0.0379
2026-02-17 03:32:57,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-17 18:00:00,2.3934,3.2249,-0.5949,6.3285,7.8058,3.5593,0.007,0.0084,-0.0059,2.1335,2.3336,2.0055,0.244,0.3424,0.0544,0.029,0.0424,0.0248
2026-02-17 03:32:57,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-18 00:00:00,2.3226,3.3458,-1.2325,6.4053,12.3482,0.4144,0.0114,0.0124,-0.0114,1.9284,2.1016,1.8681,0.2441,0.3104,0.0719,0.0252,0.0364,0.0182
2026-02-17 03:32:57,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-18 06:00:00,2.0906,2.8289,-1.3321,4.1176,8.4126,-0.1325,0.0122,0.014,-0.0121,1.7212,2.0066,1.2127,0.2148,0.2802,0.0342,0.024,0.0316,-0.0041
2026-02-17 03:32:57,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-18 12:00:00,2.0541,2.7459,-0.9593,4.1772,6.4054,1.6105,0.0097,0.0113,-0.0086,2.174,2.3757,2.1054,0.2172,0.2574,0.1393,0.0277,0.0347,0.0131
2026-02-17 03:32:57,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-18 18:00:00,1.8318,2.642,-1.1379,4.496,8.6414,1.3497,0.0096,0.0113,-0.0092,1.8954,2.0731,1.7926,0.1832,0.2521,0.0538,0.0231,0.0293,0.0106
2026-02-17 03:32:57,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-19 00:00:00,2.2903,3.1392,-1.5824,5.7378,19.0069,-2.853,0.0188,0.0203,-0.0188,2.4368,2.6986,2.4096,0.1494,0.2146,0.0165,0.0388,0.0479,0.0343
2026-02-17 03:32:57,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-19 06:00:00,2.8746,3.807,-2.1301,4.8059,13.7885,-3.0161,0.0177,0.0205,-0.0172,2.7058,3.6517,1.4236,0.2339,0.3573,0.0028,0.036,0.0464,0.0205
2026-02-17 03:32:57,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-19 12:00:00,3.3287,4.591,-2.3358,4.6259,9.4503,-2.3252,0.0151,0.0183,-0.0133,2.8807,3.4515,2.318,0.2887,0.3889,0.1084,0.0527,0.0655,0.05
2026-02-17 03:32:57,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-19 18:00:00,3.3376,4.4282,-2.2843,4.4862,6.4104,-2.0307,0.0118,0.0138,-0.0111,2.3559,2.6249,2.0847,0.2944,0.5186,0.0349,0.044,0.052,0.0426
2026-02-17 03:32:57,2026-02-17 00:00:00,2026-02-16 12:00:00,2026-02-20 00:00:00,3.2047,4.1495,-1.4772,5.1626,7.8075,-1.6351,0.0181,0.0197,-0.0181,3.1932,3.525,3.0931,0.2818,0.4073,0.0934,0.0737,0.0841,0.0735
